               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.030718,           0.0069685,                   0,             0.94226,             0.98196,              0.9857,             0.61061,            0.027305,           0.0043225,                   0,           0.0085744,           0.0085744,           0.0085744
                  38,            0.031615,           0.0075478,                   0,             0.92202,             0.98243,              0.9757,             0.57687,            0.027891,           0.0043529,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,             0.03148,           0.0071766,                   0,             0.93484,             0.98567,             0.98301,             0.62983,            0.026106,           0.0043498,                   0,           0.0084952,           0.0084952,           0.0084952
                  40,            0.030517,             0.00754,                   0,             0.96019,             0.96747,             0.98395,             0.64126,            0.024984,            0.004247,                   0,           0.0084556,           0.0084556,           0.0084556
                  41,             0.03093,           0.0066955,                   0,             0.94189,              0.9753,               0.983,             0.62864,            0.025761,           0.0042034,                   0,            0.008416,            0.008416,            0.008416
                  42,            0.028965,           0.0070249,                   0,              0.9576,              0.9707,             0.98401,             0.64612,            0.025215,            0.004191,                   0,           0.0083764,           0.0083764,           0.0083764
                  43,            0.029049,           0.0071544,                   0,             0.95246,             0.97598,             0.97564,             0.66185,            0.023124,           0.0041173,                   0,           0.0083368,           0.0083368,           0.0083368
                  44,            0.030185,           0.0070886,                   0,              0.9529,              0.9914,             0.98356,             0.66103,            0.023577,           0.0040831,                   0,           0.0082972,           0.0082972,           0.0082972
                  45,            0.029837,           0.0073705,                   0,             0.95816,             0.98854,              0.9763,             0.65239,            0.024377,           0.0040953,                   0,           0.0082576,           0.0082576,           0.0082576
                  46,             0.03033,           0.0069449,                   0,             0.95646,             0.98854,             0.98484,              0.6228,            0.026654,           0.0040513,                   0,            0.008218,            0.008218,            0.008218
                  47,            0.029131,           0.0068261,                   0,             0.96398,             0.97994,             0.98131,             0.67158,            0.022751,           0.0040441,                   0,           0.0081784,           0.0081784,           0.0081784
                  48,            0.029473,             0.00684,                   0,             0.95824,             0.98612,             0.98611,             0.59749,            0.027291,           0.0040354,                   0,           0.0081388,           0.0081388,           0.0081388
                  49,            0.028852,            0.007194,                   0,             0.96373,             0.98983,             0.98747,             0.65697,            0.023533,           0.0039786,                   0,           0.0080992,           0.0080992,           0.0080992
                  50,            0.028616,             0.00616,                   0,             0.96111,             0.99713,             0.98738,              0.6595,            0.024673,           0.0039777,                   0,           0.0080596,           0.0080596,           0.0080596
                  51,             0.02991,           0.0067864,                   0,             0.95819,             0.98493,             0.98758,             0.67373,            0.022931,            0.003997,                   0,             0.00802,             0.00802,             0.00802
                  52,            0.027716,           0.0066597,                   0,             0.95146,             0.98281,             0.99111,             0.64084,            0.024865,           0.0039716,                   0,           0.0079804,           0.0079804,           0.0079804
                  53,            0.029604,           0.0062312,                   0,             0.96877,             0.97764,             0.98977,             0.66473,            0.022836,           0.0039386,                   0,           0.0079408,           0.0079408,           0.0079408
                  54,            0.026742,           0.0066397,                   0,             0.96624,             0.98405,             0.99027,             0.67486,            0.024047,           0.0038766,                   0,           0.0079012,           0.0079012,           0.0079012
                  55,            0.030722,           0.0067965,                   0,             0.96874,             0.97671,             0.98744,             0.68417,            0.022078,           0.0039847,                   0,           0.0078616,           0.0078616,           0.0078616
                  56,            0.027264,           0.0068544,                   0,             0.96619,             0.98272,             0.98746,              0.6423,             0.02501,           0.0040806,                   0,            0.007822,            0.007822,            0.007822
                  57,            0.027489,           0.0064393,                   0,             0.96653,             0.99285,             0.98963,             0.68267,            0.022759,           0.0039521,                   0,           0.0077824,           0.0077824,           0.0077824
                  58,             0.02675,           0.0063496,                   0,             0.96107,             0.99025,             0.98762,             0.66936,            0.022702,           0.0038586,                   0,           0.0077428,           0.0077428,           0.0077428
                  59,            0.027642,           0.0064233,                   0,             0.96319,             0.97994,             0.98818,             0.67748,            0.022947,            0.003841,                   0,           0.0077032,           0.0077032,           0.0077032
                  60,            0.027602,           0.0064474,                   0,             0.96014,             0.98854,             0.98916,             0.67652,            0.023693,           0.0038538,                   0,           0.0076636,           0.0076636,           0.0076636
                  61,            0.027166,           0.0065642,                   0,             0.97077,             0.98281,             0.99013,             0.65847,            0.024318,           0.0038436,                   0,            0.007624,            0.007624,            0.007624
                  62,            0.026055,           0.0063823,                   0,             0.96883,             0.98854,             0.98984,             0.68871,            0.023155,           0.0038453,                   0,           0.0075844,           0.0075844,           0.0075844
                  63,            0.026661,           0.0062546,                   0,             0.96326,             0.98281,             0.98846,             0.69432,            0.022405,           0.0037799,                   0,           0.0075448,           0.0075448,           0.0075448
                  64,            0.025672,           0.0063354,                   0,             0.95855,             0.99399,             0.98534,             0.65383,             0.02422,           0.0038243,                   0,           0.0075052,           0.0075052,           0.0075052
                  65,             0.02516,            0.006329,                   0,             0.96033,              0.9914,             0.98427,             0.68671,            0.022723,           0.0037945,                   0,           0.0074656,           0.0074656,           0.0074656
                  66,            0.025714,           0.0058465,                   0,             0.96369,             0.98567,             0.97989,             0.68698,            0.021878,            0.003793,                   0,            0.007426,            0.007426,            0.007426
                  67,            0.026987,            0.006496,                   0,             0.95984,             0.98281,             0.98659,             0.71002,            0.020964,           0.0038076,                   0,           0.0073864,           0.0073864,           0.0073864
                  68,            0.025578,           0.0060871,                   0,             0.96358,              0.9854,             0.98911,             0.71294,            0.021253,           0.0037926,                   0,           0.0073468,           0.0073468,           0.0073468
                  69,            0.026664,           0.0062009,                   0,             0.95524,              0.9914,             0.98824,             0.69497,            0.021906,           0.0037657,                   0,           0.0073072,           0.0073072,           0.0073072
                  70,            0.025673,           0.0063053,                   0,              0.9583,              0.9878,             0.98876,             0.68697,            0.021267,           0.0037696,                   0,           0.0072676,           0.0072676,           0.0072676
                  71,            0.025164,           0.0061493,                   0,             0.96052,             0.98567,             0.98883,             0.72024,            0.019732,           0.0036723,                   0,            0.007228,            0.007228,            0.007228
                  72,            0.024277,           0.0061615,                   0,             0.96362,             0.98655,             0.98724,             0.66751,            0.021278,            0.003631,                   0,           0.0071884,           0.0071884,           0.0071884
                  73,            0.024228,           0.0060503,                   0,             0.96834,             0.98854,             0.98775,             0.72188,             0.02012,           0.0035654,                   0,           0.0071488,           0.0071488,           0.0071488
                  74,             0.02595,           0.0058509,                   0,              0.9652,             0.99427,             0.98961,             0.70574,            0.021143,            0.003541,                   0,           0.0071092,           0.0071092,           0.0071092
                  75,            0.027369,           0.0061582,                   0,             0.96909,             0.98819,             0.99037,             0.69616,            0.020887,           0.0036159,                   0,           0.0070696,           0.0070696,           0.0070696
                  76,            0.025117,           0.0062251,                   0,             0.96617,              0.9914,             0.98874,             0.71241,            0.019793,           0.0035343,                   0,             0.00703,             0.00703,             0.00703
                  77,            0.025596,           0.0059213,                   0,             0.96346,             0.99427,             0.98866,             0.71792,            0.020072,           0.0035526,                   0,           0.0069904,           0.0069904,           0.0069904
                  78,            0.025562,           0.0060614,                   0,             0.96877,              0.9914,             0.98707,             0.72228,            0.020174,           0.0035881,                   0,           0.0069508,           0.0069508,           0.0069508
                  79,            0.023391,           0.0055757,                   0,             0.95298,              0.9914,             0.98761,             0.69226,            0.021516,           0.0037489,                   0,           0.0069112,           0.0069112,           0.0069112
                  80,            0.023051,           0.0059684,                   0,             0.96463,             0.98854,             0.98585,             0.70365,             0.02095,           0.0036274,                   0,           0.0068716,           0.0068716,           0.0068716
                  81,             0.02424,           0.0059998,                   0,              0.9557,             0.98895,             0.98913,             0.69179,            0.020943,           0.0036327,                   0,            0.006832,            0.006832,            0.006832
                  82,            0.026355,           0.0062532,                   0,             0.96014,             0.99713,             0.99142,             0.69374,            0.020952,           0.0036328,                   0,           0.0067924,           0.0067924,           0.0067924
                  83,            0.025668,           0.0061724,                   0,             0.96375,             0.99021,             0.99166,             0.72984,            0.020312,           0.0035903,                   0,           0.0067528,           0.0067528,           0.0067528
                  84,            0.024926,           0.0056457,                   0,             0.97291,             0.98854,             0.98964,             0.72107,            0.020552,           0.0034957,                   0,           0.0067132,           0.0067132,           0.0067132
                  85,            0.025065,           0.0062829,                   0,             0.96889,             0.98854,             0.98951,             0.73014,            0.019421,           0.0034747,                   0,           0.0066736,           0.0066736,           0.0066736
                  86,            0.024042,           0.0061892,                   0,             0.96663,             0.98854,             0.98894,             0.72403,            0.019289,           0.0034781,                   0,            0.006634,            0.006634,            0.006634
                  87,            0.024159,           0.0057166,                   0,             0.96108,             0.99067,              0.9894,              0.7465,            0.018918,           0.0034291,                   0,           0.0065944,           0.0065944,           0.0065944
                  88,            0.024021,            0.005788,                   0,             0.96576,             0.99427,             0.99055,             0.71269,            0.020375,           0.0034817,                   0,           0.0065548,           0.0065548,           0.0065548
                  89,            0.023793,           0.0057386,                   0,             0.97189,              0.9907,             0.99105,             0.74066,            0.018454,           0.0033994,                   0,           0.0065152,           0.0065152,           0.0065152
                  90,            0.023387,           0.0057273,                   0,             0.97048,             0.99427,              0.9927,              0.7411,            0.018933,           0.0033835,                   0,           0.0064756,           0.0064756,           0.0064756
                  91,            0.023031,           0.0058241,                   0,             0.96923,             0.99278,             0.99061,             0.74265,            0.018009,           0.0033698,                   0,            0.006436,            0.006436,            0.006436
